Algoritmo,Otimizador,Fold_ID,Tempo_Treinamento_s,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC,CV_Kappa,Cenario
SVM,Genetica,5,0.06,0.64375,0.8313253012048193,0.6160714285714286,0.7076923076923077,0.7134486607142857,0.2766497461928934,PCA
MLP,GridSearch,1,5.54,0.75,0.86,0.7678571428571429,0.8113207547169812,0.7989211309523809,0.4444444444444444,Original
MLP,GridSearch,2,5.31,0.73125,0.8108108108108109,0.8035714285714286,0.8071748878923767,0.734375,0.36390532544378695,Original
MLP,GridSearch,3,5.75,0.69375,0.7837837837837838,0.7767857142857143,0.7802690582959642,0.7191220238095238,0.2751479289940828,Original
MLP,GridSearch,4,6.09,0.73125,0.7851239669421488,0.8482142857142857,0.8154506437768241,0.7014508928571429,0.3238993710691823,Original
MLP,GridSearch,5,5.24,0.75625,0.8230088495575221,0.8303571428571429,0.8266666666666667,0.7671130952380952,0.4161676646706587,Original
MLP,RandomSearch,1,5.1,0.75,0.86,0.7678571428571429,0.8113207547169812,0.7989211309523809,0.4444444444444444,Original
MLP,RandomSearch,2,6.78,0.73125,0.8108108108108109,0.8035714285714286,0.8071748878923767,0.734375,0.36390532544378695,Original
MLP,RandomSearch,3,5.27,0.69375,0.7837837837837838,0.7767857142857143,0.7802690582959642,0.7191220238095238,0.2751479289940828,Original
MLP,RandomSearch,4,6.26,0.73125,0.7851239669421488,0.8482142857142857,0.8154506437768241,0.7014508928571429,0.3238993710691823,Original
MLP,RandomSearch,5,7.4,0.75625,0.8230088495575221,0.8303571428571429,0.8266666666666667,0.7671130952380952,0.4161676646706587,Original
MLP,Bayesiana,1,3.04,0.75625,0.8613861386138614,0.7767857142857143,0.8169014084507042,0.7797619047619047,0.45530726256983234,Original
MLP,Bayesiana,2,2.81,0.675,0.7542372881355932,0.7946428571428571,0.7739130434782608,0.6581101190476191,0.19753086419753085,Original
MLP,Bayesiana,3,4.69,0.69375,0.7739130434782608,0.7946428571428571,0.7841409691629956,0.6876860119047619,0.25757575757575757,Original
MLP,Bayesiana,4,3.46,0.71875,0.7637795275590551,0.8660714285714286,0.8117154811715481,0.7423735119047619,0.26470588235294124,Original
MLP,Bayesiana,5,3.48,0.74375,0.8317757009345794,0.7946428571428571,0.8127853881278538,0.7831101190476191,0.40751445086705207,Original
